question,answer
"What products does the Company design, manufacture, and market?","The Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services."
What is the Company's fiscal year?,The Company's fiscal year is the 52- or 53-week period that ends on the last Saturday of September.
What are the products included in the iPhone line?,"The iPhone line includes iPhone 14 Pro, iPhone 14, iPhone 13, iPhone SE, iPhone 12 and iPhone 11."
What are the products included in the Mac line?,"The Mac line includes laptops MacBook Air and MacBook Pro, as well as desktops iMac, Mac mini, Mac Studio and Mac Pro."
What are the products included in the iPad line?,"The iPad line includes iPad Pro, iPad Air, iPad and iPad mini."
"What products are included in Wearables, Home and Accessories?","Wearables, Home and Accessories includes AirPods, Apple TV, Apple Watch, Beats products, HomePod mini and accessories."
What are the Company's advertising services?,The Company's advertising services include various third-party licensing arrangements and the Company's own advertising platforms.
What is AppleCare?,"The Company offers a portfolio of fee-based service and support products under the AppleCare brand. The offerings provide priority access to Apple technical support, access to the global Apple authorized service network for repair and replacement services, and in many cases additional coverage for instances of accidental damage and/or theft and loss, depending on the country and type of product."
What are the Company's cloud services?,The Company's cloud services store and keep customers' content up-to-date and available across multiple Apple devices and Windows personal computers.
What are the Company's payment services?,"The Company offers payment services, including Apple Card, a co-branded credit card, and Apple Pay, a cashless payment service."
